Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,561.080017,569.260986,545.039978,548.679993,548.679993,551200
2021-11-12,552.940002,568.669983,550.299988,566.830017,566.830017,328200
2021-11-15,569.630005,570.549988,556.109985,561.890015,561.890015,423000
2021-11-16,569.349976,585.869019,565.729980,585.030029,585.030029,510300
2021-11-17,585.030029,590.000000,566.570007,570.000000,570.000000,408500
2021-11-18,571.679993,579.000000,557.549988,567.789978,567.789978,969200
2021-11-19,573.919983,580.469971,562.195007,569.770020,569.770020,502600
2021-11-22,569.770020,569.770020,507.489990,515.869995,515.869995,1095600
2021-11-23,509.200012,523.080017,492.260010,498.859985,498.859985,1131300
2021-11-24,494.140015,512.440002,482.329987,507.179993,507.179993,652200
2021-11-26,503.467987,527.349976,503.467987,518.609985,518.609985,440500
2021-11-29,525.382019,532.979980,516.940002,525.979980,525.979980,498200
2021-11-30,530.000000,542.700012,496.880005,498.100006,498.100006,976300
2021-12-01,502.000000,508.579987,456.640015,456.890015,456.890015,977600
2021-12-02,454.070007,483.553009,451.989990,481.589996,481.589996,1253100
2021-12-03,482.170013,483.230011,435.820007,450.160004,450.160004,1761000
2021-12-06,430.679993,440.320007,417.214996,429.339996,429.339996,1853500
2021-12-07,521.950012,525.648987,485.459991,499.820007,499.820007,3267600
2021-12-08,502.750000,533.669983,486.239990,531.570007,531.570007,1376800
2021-12-09,531.520020,537.299988,512.400024,513.280029,513.280029,924300
2021-12-10,514.919983,527.820007,501.950012,507.730011,507.730011,774800
2021-12-13,504.500000,517.979980,488.000000,494.929993,494.929993,1024700
2021-12-14,488.500000,489.540009,461.730011,478.549988,478.549988,791400
2021-12-15,477.269989,510.989990,472.109985,508.410004,508.410004,890200
2021-12-16,504.000000,511.000000,475.269989,481.019989,481.019989,1034700
2021-12-17,476.750000,499.160004,470.290009,497.850006,497.850006,1316100
2021-12-20,486.989990,497.329987,481.000000,495.600006,495.600006,963400
2021-12-21,508.320007,539.900024,492.779999,538.460022,538.460022,1333300
2021-12-22,532.539978,553.599976,529.619995,551.520020,551.520020,963700
2021-12-23,550.000000,563.489990,547.729980,551.109985,551.109985,589800
2021-12-27,552.000000,570.580017,551.349976,559.190002,559.190002,346200
2021-12-28,563.330017,563.987976,541.080017,542.080017,542.080017,395000
2021-12-29,539.719971,541.210022,528.859985,538.010010,538.010010,479200
2021-12-30,540.460022,546.729980,531.909973,532.349976,532.349976,222600
2021-12-31,530.440002,538.080017,527.039978,529.349976,529.349976,359200
2022-01-03,515.000000,519.539978,476.251007,487.559998,487.559998,1913400
2022-01-04,488.770996,488.770996,445.869995,465.369995,465.369995,1479300
2022-01-05,449.149994,453.970001,426.540009,428.769989,428.769989,1661700
2022-01-06,422.070007,440.148010,413.000000,429.679993,429.679993,1912000
2022-01-07,425.000000,443.239990,419.910004,429.630005,429.630005,1139300
2022-01-10,414.095001,435.589996,393.950012,435.000000,435.000000,1711400
2022-01-11,426.899994,449.000000,426.899994,443.790009,443.790009,1112000
2022-01-12,449.000000,450.065002,430.450012,432.489990,432.489990,945700
2022-01-13,432.089996,432.089996,389.459991,390.829987,390.829987,1849200
2022-01-14,387.093994,398.940002,374.769989,396.890015,396.890015,1719700
2022-01-18,386.269989,407.260010,377.769989,387.269989,387.269989,993800
2022-01-19,390.579987,402.720001,384.589996,384.589996,384.589996,770600
